Compra_Fecha,Compra_Monto,Venta_Fecha,Venta_Monto,Ganancia
2023-02-06,184.92001342773438,2023-02-17,171.82077026367188,-708.3734703048572
2023-02-21,171.02566528320312,2023-04-18,216.5550079345703,2473.556511875016
2023-04-20,211.76455688476562,2023-04-28,238.84759521484375,1504.6753241554961
2023-05-02,237.77418518066406,2023-06-01,270.939697265625,1850.9227469743992
2023-06-05,269.7272033691406,2023-07-19,314.0738525390625,2486.052451529656
2023-07-20,300.66650390625,2023-07-28,323.48577880859375,1336.2817940878674
2023-07-31,316.6479797363281,2023-08-08,310.7245178222656,-354.3645610880655
2023-08-11,299.7918395996094,2023-10-11,325.81146240234375,1613.360406220243
2023-10-12,322.17388916015625,2023-10-17,322.01483154296875,-9.973805383651834
2023-10-20,306.7589111328125,2023-11-29,330.1647033691406,1540.6658310307623
2023-11-30,325.1455383300781,2024-03-07,509.5919494628906,12328.440919257415
2024-03-08,503.3836364746094,2024-04-12,509.30340576171875,400.55872376441863
2024-04-15,497.6926574707031,2024-04-18,499.2546691894531,108.15859773593408
2024-04-19,478.62982177734375,2024-04-24,490.9967346191406,893.2241180760572
2024-04-25,439.1411437988281,2024-05-16,470.8295593261719,2559.0227121794333
2024-05-17,469.5162658691406,2024-07-16,487.7894592285156,1479.7935976343576
2024-07-17,460.10296630859375,2024-08-15,535.13525390625,6441.874502253923
2024-08-16,525.2656860351562,2024-08-21,532.9739990234375,674.2298014159497
2024-08-26,518.991455078125,2024-10-08,591.0316162109375,6470.965657711861
2024-10-09,588.6590576171875,2024-10-14,588.5693359375,-8.091679960777547
2024-10-16,574.9819946289062,2024-10-29,591.42041015625,1517.5557094565618
2024-10-31,565.8009643554688,2024-11-08,587.49267578125,2093.2019550643276
2024-11-11,581.3419799804688,2024-11-14,575.3508911132812,-584.2434421615868
2024-11-15,552.34326171875,2025-01-06,628.7313842773438,7759.569919369565
2025-01-08,609.2967529296875,2025-02-19,702.1299438476562,9730.863240224704
2025-02-24,666.572998046875,2025-03-07,624.201904296875,-4678.2943468084895
2025-03-10,596.596435546875,2025-03-26,610.0984497070312,1559.7710749300666
2025-03-28,575.9078369140625,2025-04-10,545.5018310546875,-3721.076607095534
2025-04-15,520.767578125,2025-05-15,642.9509887695312,15662.95696536591
2025-05-16,639.4161376953125,2025-07-10,726.7494506835938,11257.338413387468
2025-07-11,717.0260620117188,2025-08-22,754.2808837890625,4867.299239708383
2025-08-25,752.7918701171875,2025-09-19,777.85498046875,3280.9431442612763
