Compra_Fecha,Compra_Monto,Venta_Fecha,Venta_Monto,Ganancia
2023-02-02,47.10304260253906,2023-03-09,44.27012634277344,-601.429568715996
2023-03-13,40.75402069091797,2023-04-25,43.63249206542969,663.8244641666029
2023-04-26,42.68514633178711,2023-05-01,43.51225280761719,194.9781761481025
2023-05-02,42.36113739013672,2023-05-10,42.70186233520508,82.50351835878455
2023-05-11,42.388755798339844,2023-06-15,44.718631744384766,568.3259463104711
2023-06-23,42.379554748535156,2023-08-07,42.69426345825195,81.00383229337822
2023-08-09,41.39936447143555,2023-08-14,41.08262634277344,-84.07618583279087
2023-08-15,40.253517150878906,2023-08-18,39.35920333862305,-242.2796624281928
2023-08-23,38.269264221191406,2023-09-14,40.18831253051758,534.6986852245017
2023-09-22,38.12020492553711,2023-10-18,37.70099639892578,-123.13963456584929
2023-10-19,37.31904602050781,2023-11-17,42.8050651550293,1627.9736297766792
2023-11-21,42.550270080566406,2024-01-05,51.26982498168945,2603.0182060936904
2024-01-11,49.14655685424805,2024-02-02,52.91190719604492,1172.6192455242583
2024-02-05,51.921119689941406,2024-04-02,59.866477966308594,2521.5900302260075
2024-04-03,58.77089309692383,2024-04-08,58.808998107910156,12.31868933149749
2024-04-10,57.33234786987305,2024-04-23,59.704524993896484,786.6355663989099
2024-04-24,59.51398468017578,2024-06-06,59.52167892456055,2.5596504405081935
2024-06-11,56.83100509643555,2024-07-17,64.9703140258789,2835.9074400453715
2024-07-18,62.356502532958984,2024-07-31,62.346893310546875,-3.4883976278138706
2024-08-05,54.535133361816406,2024-09-04,59.14360046386719,1912.6375016825516
2024-09-06,57.32931900024414,2024-09-19,61.14221954345703,1632.5354811008624
2024-09-20,60.2884407043457,2024-10-16,62.3355712890625,888.9142068189366
2024-10-17,62.06391143798828,2024-11-12,67.5572509765625,2395.783365214345
2024-11-13,67.43001556396484,2024-12-10,70.9635009765625,1543.949580328092
2024-12-12,69.91617584228516,2024-12-26,69.83787536621094,-34.725745729937344
2024-12-27,69.49529266357422,2025-03-03,76.05758666992188,2924.680925184174
2025-03-04,71.30706787109375,2025-03-07,69.4443130493164,-885.4997996229314
2025-03-10,66.43827819824219,2025-09-17,101.76000213623047,17550.640898483627
